BAC009S0005w0001	0530_01_1
BAC009S0005w0777	0704_23_16
BAC009S0005w0778	0704_23_17
BAC009S0005w0779	0704_23_18
BAC009S0005w0780	0704_23_19
BAC009S0005w0781	0704_23_2
BAC009S0005w0782	0704_23_20
BAC009S0005w0783	0704_23_21
BAC009S0005w0784	0704_23_22
BAC009S0005w0785	0704_23_23
BAC009S0005w0786	0704_23_24
BAC009S0005w0787	0704_23_3
BAC009S0005w0788	0704_23_4
BAC009S0005w0789	0704_23_5
BAC009S0005w0790	0704_23_6
BAC009S0005w0791	0704_23_7
BAC009S0005w0792	0704_23_8
BAC009S0005w0793	0704_23_9
BAC009S0005w0794	0704_24_1
BAC009S0005w0795	0704_24_10
BAC009S0005w0796	0704_24_11
BAC009S0005w0797	0704_24_12
BAC009S0005w0798	0704_24_13
BAC009S0005w0799	0704_24_14
BAC009S0005w0800	0704_24_15
BAC009S0005w0801	0704_24_16
BAC009S0005w0802	0704_24_17
BAC009S0005w0803	0704_24_18
BAC009S0005w0804	0704_24_19
BAC009S0005w0805	0704_24_2
BAC009S0005w0806	0704_24_20
BAC009S0005w0807	0704_24_21
BAC009S0005w0808	0704_24_22
BAC009S0005w0809	0704_24_23
BAC009S0005w0810	0704_24_24
BAC009S0005w0811	0704_24_25
BAC009S0005w0812	0704_24_26
BAC009S0005w0813	0704_24_27
BAC009S0005w0814	0704_24_28
BAC009S0005w0815	0704_24_29
BAC009S0005w0816	0704_24_3
BAC009S0005w0817	0704_24_30
BAC009S0005w0818	0704_24_4
BAC009S0005w0819	0704_24_5
BAC009S0005w0820	0704_24_6
BAC009S0005w0821	0704_24_7
BAC009S0005w0822	0704_24_8
BAC009S0005w0823	0704_24_9
BAC009S0005w0824	0704_25_1
BAC009S0005w0825	0704_25_10
BAC009S0005w0826	0704_25_11
BAC009S0005w0827	0704_25_12
BAC009S0005w0828	0704_25_13
BAC009S0005w0829	0704_25_14
BAC009S0005w0830	0704_25_15
BAC009S0005w0831	0704_25_16
BAC009S0005w0832	0704_25_2
BAC009S0005w0833	0704_25_3
BAC009S0005w0834	0704_25_4
BAC009S0005w0835	0704_25_5
BAC009S0005w0836	0704_25_6
BAC009S0005w0837	0704_25_7
BAC009S0005w0838	0704_25_8
BAC009S0005w0839	0704_25_9
BAC009S0005w0840	0704_26_1
BAC009S0005w0841	0704_26_10
BAC009S0005w0842	0704_26_11
BAC009S0005w0843	0704_26_12
BAC009S0005w0844	0704_26_13
BAC009S0005w0845	0704_26_14
BAC009S0005w0846	0704_26_15
BAC009S0005w0847	0704_26_16
BAC009S0005w0848	0704_26_17
BAC009S0005w0849	0704_26_18
BAC009S0005w0850	0704_26_19
BAC009S0005w0851	0704_26_2
BAC009S0005w0852	0704_26_20
BAC009S0005w0853	0704_26_21
BAC009S0005w0854	0704_26_22
BAC009S0005w0855	0704_26_23
BAC009S0005w0856	0704_26_24
BAC009S0005w0857	0704_26_25
BAC009S0005w0858	0704_26_3
BAC009S0005w0859	0704_26_4
BAC009S0005w0860	0704_26_5
BAC009S0005w0861	0704_26_6
BAC009S0005w0862	0704_26_7
BAC009S0005w0863	0704_26_8
BAC009S0005w0864	0704_26_9
BAC009S0005w0865	0704_27_1
BAC009S0005w0866	0704_27_2
BAC009S0005w0867	0704_27_3
BAC009S0005w0868	0704_27_4
BAC009S0005w0869	0704_27_5
BAC009S0005w0870	0704_27_6
BAC009S0005w0871	0704_27_7
BAC009S0005w0872	0704_27_8
BAC009S0005w0873	0704_27_9
BAC009S0005w0874	0704_28_1
BAC009S0005w0875	0704_28_2
BAC009S0005w0876	0704_28_3
BAC009S0005w0877	0704_28_4
BAC009S0005w0878	0704_28_5
BAC009S0005w0879	0704_28_6
BAC009S0005w0880	0704_28_7
BAC009S0005w0881	0704_28_8
BAC009S0005w0882	0704_29_1
BAC009S0005w0883	0704_29_10
BAC009S0005w0884	0704_29_11
BAC009S0005w0885	0704_29_12
BAC009S0005w0886	0704_29_13
BAC009S0005w0887	0704_29_2
BAC009S0005w0888	0704_29_3
BAC009S0005w0889	0704_29_4
BAC009S0005w0890	0704_29_5
BAC009S0005w0891	0704_29_6
BAC009S0005w0892	0704_29_7
BAC009S0005w0893	0704_29_8
BAC009S0005w0894	0704_29_9
BAC009S0005w0895	0704_30_1
BAC009S0005w0896	0704_30_10
BAC009S0005w0897	0704_30_11
BAC009S0005w0898	0704_30_12
BAC009S0005w0899	0704_30_13
BAC009S0005w0900	0704_30_14
BAC009S0005w0901	0704_30_15
BAC009S0005w0902	0704_30_16
BAC009S0005w0903	0704_30_17
BAC009S0005w0904	0704_30_18
BAC009S0005w0905	0704_30_19
BAC009S0005w0906	0704_30_2
BAC009S0005w0907	0704_30_20
BAC009S0005w0908	0704_30_21
BAC009S0005w0909	0704_30_22
BAC009S0005w0910	0704_30_23
BAC009S0005w0911	0704_30_24
BAC009S0005w0912	0704_30_25
BAC009S0005w0913	0704_30_26
BAC009S0005w0914	0704_30_27
BAC009S0005w0915	0704_30_28
BAC009S0005w0916	0704_30_29
BAC009S0005w0917	0704_30_3
BAC009S0005w0918	0704_30_30
BAC009S0005w0919	0704_30_31
BAC009S0005w0920	0704_30_32
BAC009S0005w0921	0704_30_33
BAC009S0005w0922	0704_30_34
BAC009S0005w0923	0704_30_35
BAC009S0005w0924	0704_30_36
BAC009S0005w0925	0704_30_37
BAC009S0005w0926	0704_30_38
BAC009S0005w0927	0704_30_39
BAC009S0005w0928	0704_30_4
BAC009S0005w0929	0704_30_5
BAC009S0005w0930	0704_30_6
BAC009S0005w0931	0704_30_7
BAC009S0005w0932	0704_30_8
BAC009S0005w0933	0704_30_9
BAC009S0005w0934	0704_31_1
BAC009S0005w0935	0704_31_10
BAC009S0005w0936	0704_31_11
BAC009S0005w0937	0704_31_12
BAC009S0005w0938	0704_31_13
BAC009S0005w0939	0704_31_14
BAC009S0005w0940	0704_31_15
BAC009S0005w0941	0704_31_16
BAC009S0005w0942	0704_31_2
BAC009S0005w0943	0704_31_3
BAC009S0005w0944	0704_31_4
BAC009S0005w0945	0704_31_5
BAC009S0005w0946	0704_31_6
BAC009S0005w0947	0704_31_7
BAC009S0005w0948	0704_31_8
BAC009S0005w0949	0704_31_9
BAC009S0005w0950	1002_06_1
BAC009S0005w0951	1002_06_10
BAC009S0005w0952	1002_06_11
BAC009S0005w0953	1002_06_12
BAC009S0005w0954	1002_06_13
BAC009S0005w0955	1002_06_14
BAC009S0005w0956	1002_06_15
BAC009S0005w0957	1002_06_16
BAC009S0005w0958	1002_06_17
BAC009S0005w0959	1002_06_18
BAC009S0005w0960	1002_06_19
BAC009S0005w0961	1002_06_2
BAC009S0005w0962	1002_06_20
BAC009S0005w0963	1002_06_21
BAC009S0005w0964	1002_06_22
BAC009S0005w0965	1002_06_23
BAC009S0005w0966	1002_06_24
BAC009S0005w0967	1002_06_25
BAC009S0005w0968	1002_06_26
BAC009S0005w0969	1002_06_3
BAC009S0005w0970	1002_06_4
BAC009S0005w0971	1002_06_5
BAC009S0005w0972	1002_06_6
BAC009S0005w0973	1002_06_7
BAC009S0005w0974	1002_06_8
BAC009S0005w0975	1002_06_9
BAC009S0005w0976	1002_07_1
BAC009S0005w0977	1002_07_10
BAC009S0005w0978	1002_07_100
BAC009S0005w0979	1002_07_101
BAC009S0005w0980	1002_07_102
BAC009S0005w0981	1002_07_103
BAC009S0005w0982	1002_07_11
BAC009S0005w0983	1002_07_12
BAC009S0005w0984	1002_07_13
BAC009S0005w0985	1002_07_14
BAC009S0005w0986	1002_07_15
BAC009S0005w0987	1002_07_16
BAC009S0005w0988	1002_07_17
BAC009S0005w0989	1002_07_18
BAC009S0005w0990	1002_07_19
BAC009S0005w0991	1002_07_2
BAC009S0005w0992	1002_07_20
BAC009S0005w0993	1002_07_21
BAC009S0005w0994	1002_07_22
BAC009S0005w0995	1002_07_23
BAC009S0005w0996	1002_07_24
BAC009S0005w0997	1002_07_25
BAC009S0005w0998	1002_07_26
BAC009S0005w0999	1002_07_27
BAC009S0005w1000	1002_07_28
BAC009S0005w1001	1002_07_29
BAC009S0005w1002	1002_07_3
BAC009S0005w1003	1002_07_30
BAC009S0005w1004	1002_07_31
BAC009S0005w1005	1002_07_32
BAC009S0005w1006	1002_07_33
BAC009S0005w1007	1002_07_34
BAC009S0005w1008	1002_07_35
BAC009S0005w1009	1002_07_36
BAC009S0005w1010	1002_07_37
BAC009S0005w1011	1002_07_38
BAC009S0005w1012	1002_07_39
BAC009S0005w1013	1002_07_4
BAC009S0005w1014	1002_07_40
BAC009S0005w1015	1002_07_41
BAC009S0005w1016	1002_07_42
BAC009S0005w1017	1002_07_43
BAC009S0005w1018	1002_07_44
BAC009S0005w1019	1002_07_45
BAC009S0005w1020	1002_07_46
BAC009S0005w1021	1002_07_47
BAC009S0005w1022	1002_07_48
BAC009S0005w1023	1002_07_49
BAC009S0005w1024	1002_07_5
BAC009S0005w1025	1002_07_50
BAC009S0005w1026	1002_07_51
BAC009S0005w1027	1002_07_52
BAC009S0005w1028	1002_07_53
BAC009S0005w1029	1002_07_54
BAC009S0005w1030	1002_07_55
BAC009S0005w1031	1002_07_56
BAC009S0005w1032	1002_07_57
BAC009S0005w1033	1002_07_58
BAC009S0005w1034	1002_07_59
BAC009S0005w1035	1002_07_6
BAC009S0005w1036	1002_07_60
BAC009S0005w1037	1002_07_61
BAC009S0005w1038	1002_07_62
BAC009S0005w1039	1002_07_63
BAC009S0005w1040	1002_07_64
BAC009S0005w1041	1002_07_65
BAC009S0005w1042	1002_07_66
BAC009S0005w1043	1002_07_67
BAC009S0005w1044	1002_07_68
BAC009S0005w1045	1002_07_69
BAC009S0005w1046	1002_07_7
BAC009S0005w1047	1002_07_70
BAC009S0005w1048	1002_07_71
BAC009S0005w1049	1002_07_72
BAC009S0005w1050	1002_07_73
BAC009S0005w1051	1002_07_74
BAC009S0005w1052	1002_07_75
BAC009S0005w1053	1002_07_76
BAC009S0005w1054	1002_07_77
BAC009S0005w1055	1002_07_78
BAC009S0005w1056	1002_07_79
BAC009S0005w1057	1002_07_8
BAC009S0005w1058	1002_07_80
BAC009S0005w1059	1002_07_81
BAC009S0005w1060	1002_07_82
BAC009S0005w1061	1002_07_83
BAC009S0005w1062	1002_07_84
BAC009S0005w1063	1002_07_85
BAC009S0005w1064	1002_07_86
BAC009S0005w1065	1002_07_87
BAC009S0005w1066	1002_07_88
BAC009S0005w1067	1002_07_89
BAC009S0005w1068	1002_07_9
BAC009S0005w1069	1002_07_90
BAC009S0005w1070	1002_07_91
BAC009S0005w1071	1002_07_92
BAC009S0005w1072	1002_07_93
BAC009S0005w1073	1002_07_94
BAC009S0005w1074	1002_07_95
BAC009S0005w1075	1002_07_96
BAC009S0005w1076	1002_07_97
BAC009S0005w1077	1002_07_98
BAC009S0005w1078	1002_07_99
BAC009S0005w1079	1002_08_1
BAC009S0005w1080	1002_08_10
BAC009S0005w1081	1002_08_11
BAC009S0005w1082	1002_08_12
BAC009S0005w1083	1002_08_13
BAC009S0005w1084	1002_08_14
BAC009S0005w1085	1002_08_2
BAC009S0005w1086	1002_08_3
BAC009S0005w1087	1002_08_4
BAC009S0005w1088	1002_08_5
BAC009S0005w1089	1002_08_6
BAC009S0005w1090	1002_08_7
BAC009S0005w1091	1002_08_8
BAC009S0005w1092	1002_08_9
BAC009S0005w1093	1008_25_1
BAC009S0005w1094	1008_25_2
BAC009S0005w1095	1008_25_3
BAC009S0005w1096	1008_25_4
BAC009S0005w1097	1008_25_5
BAC009S0005w1098	1008_25_6
BAC009S0005w1099	1008_25_7
BAC009S0005w1100	1008_26_1
BAC009S0005w1101	1008_26_2
BAC009S0005w1102	1008_26_3
BAC009S0005w1103	1008_26_4
BAC009S0005w1104	1008_27_1
BAC009S0005w1105	1008_27_2
BAC009S0005w1106	1008_27_3
BAC009S0005w1107	1008_27_4
BAC009S0005w1108	1008_27_5
BAC009S0005w1109	1008_27_6
BAC009S0005w1110	1008_27_7
BAC009S0005w1111	1008_27_8
BAC009S0005w1112	1008_28_1
BAC009S0005w1113	1008_28_2
BAC009S0005w1114	1008_28_3
BAC009S0005w1115	1008_28_4
BAC009S0005w1116	1008_28_5
BAC009S0005w1117	1008_28_6
BAC009S0005w1118	1008_28_7
BAC009S0005w1119	1008_29_1
BAC009S0005w1120	1008_29_2
BAC009S0005w1121	1008_29_3
BAC009S0005w1122	1008_29_4
BAC009S0005w1123	1008_29_5
BAC009S0005w1124	1008_30_1
BAC009S0005w1125	1008_30_2
BAC009S0005w1126	1008_30_3
BAC009S0005w1127	1008_30_4
BAC009S0005w1128	1008_30_5
BAC009S0005w1129	1008_30_6
BAC009S0005w1130	1008_30_7
BAC009S0005w1131	1008_30_8
BAC009S0005w1132	1008_30_9
BAC009S0005w1133	1008_31_1
BAC009S0005w1134	1008_31_10
BAC009S0005w1135	1008_31_11
BAC009S0005w1136	1008_31_2
BAC009S0005w1137	1008_31_3
BAC009S0005w1138	1008_31_4
BAC009S0005w1139	1008_31_5
BAC009S0005w1140	1008_31_6
BAC009S0005w1141	1008_31_7
BAC009S0005w1142	1008_31_8
BAC009S0005w1143	1008_31_9
BAC009S0005w1144	1008_32_1
BAC009S0005w1145	1008_32_2
BAC009S0005w1146	1008_32_3
BAC009S0005w1147	1008_32_4
BAC009S0005w1148	1008_33_1
BAC009S0005w1149	1008_33_2
BAC009S0005w1150	1008_33_3
BAC009S0005w1151	1008_33_4
BAC009S0005w1152	1008_33_5
BAC009S0005w1153	1008_33_6
BAC009S0005w1154	1008_33_7
BAC009S0005w1155	1008_34_1
BAC009S0005w1156	1008_34_2
BAC009S0005w1157	1008_34_3
BAC009S0005w1158	1008_34_4
BAC009S0005w1159	1008_34_5
BAC009S0005w1160	1008_35_1
BAC009S0005w1161	1008_35_2
BAC009S0005w1162	1008_35_3
BAC009S0005w1163	1008_35_4
BAC009S0005w1164	1008_35_5
BAC009S0005w1165	1008_35_6
BAC009S0005w1166	1008_36_1
BAC009S0005w1167	1008_36_2
BAC009S0005w1168	1008_36_3
BAC009S0005w1169	1008_36_4
BAC009S0005w1170	1008_36_5
BAC009S0011w0001	1002_03_1
BAC009S0011w0002	1002_03_10
BAC009S0011w0003	1002_03_11
BAC009S0011w0004	1002_03_12
BAC009S0011w0005	1002_03_13
BAC009S0011w0006	1002_03_14
BAC009S0011w0007	1002_03_15
BAC009S0011w0008	1002_03_16
BAC009S0011w0009	1002_03_17
BAC009S0011w0010	1002_03_18
BAC009S0011w0011	1002_03_19
BAC009S0011w0012	1002_03_2
BAC009S0011w0013	1002_03_20
BAC009S0011w0014	1002_03_21
BAC009S0011w0015	1002_03_3
BAC009S0011w0016	1002_03_4
BAC009S0011w0017	1002_03_5
BAC009S0011w0018	1002_03_6
BAC009S0011w0019	1002_03_7
BAC009S0011w0020	1002_03_8
BAC009S0011w0021	1002_03_9
BAC009S0011w0022	1002_04_1
BAC009S0011w0023	1002_04_10
BAC009S0011w0024	1002_04_11
BAC009S0011w0025	1002_04_2
BAC009S0011w0026	1002_04_3
BAC009S0011w0027	1002_04_4
BAC009S0011w0028	1002_04_5
BAC009S0011w0029	1002_04_6
BAC009S0011w0030	1002_04_7
BAC009S0011w0031	1002_04_8
BAC009S0011w0032	1002_04_9
BAC009S0011w0033	1002_05_1
BAC009S0011w0034	1002_05_10
BAC009S0011w0035	1002_05_11
BAC009S0011w0036	1002_05_12
BAC009S0011w0037	1002_05_13
BAC009S0011w0038	1002_05_2
BAC009S0011w0039	1002_05_3
BAC009S0011w0040	1002_05_4
BAC009S0011w0041	1002_05_5
BAC009S0011w0042	1002_05_6
BAC009S0011w0043	1002_05_7
BAC009S0011w0044	1002_05_8
BAC009S0011w0045	1002_05_9
BAC009S0011w0046	1003_37_1
BAC009S0011w0047	1003_37_2
BAC009S0011w0048	1003_37_3
BAC009S0011w0049	1003_37_4
BAC009S0011w0050	1003_37_5
BAC009S0011w0051	1003_37_6
BAC009S0011w0052	1003_38_1
BAC009S0011w0053	1003_38_2
BAC009S0011w0054	1003_38_3
BAC009S0011w0055	1003_38_4
BAC009S0011w0056	1003_38_5
BAC009S0011w0057	1003_39_1
BAC009S0011w0058	1003_39_2
BAC009S0011w0059	1003_39_3
BAC009S0011w0060	1003_39_4
BAC009S0011w0061	1003_39_5
BAC009S0011w0062	1003_40_1
BAC009S0011w0063	1003_40_2
BAC009S0011w0064	1003_40_3
BAC009S0011w0065	1003_40_4
BAC009S0011w0066	1003_41_1
BAC009S0011w0067	1003_41_2
BAC009S0011w0068	1003_41_3
BAC009S0011w0069	1003_41_4
BAC009S0011w0070	1003_42_1
BAC009S0011w0071	1003_42_2
BAC009S0011w0072	1003_42_3
BAC009S0011w0073	1003_42_4
BAC009S0011w0074	1003_43_1
BAC009S0011w0075	1003_43_2
BAC009S0011w0076	1003_43_3
BAC009S0011w0077	1003_44_1
BAC009S0011w0078	1003_44_2
BAC009S0011w0079	1003_44_3
BAC009S0011w0080	1003_45_1
BAC009S0011w0081	1003_45_2
BAC009S0011w0082	1003_45_3
BAC009S0011w0083	1003_45_4
BAC009S0011w0084	1003_46_1
BAC009S0011w0085	1003_46_2
BAC009S0011w0086	1003_46_3
BAC009S0011w0087	1003_47_1
BAC009S0011w0088	1003_47_2
BAC009S0011w0089	1003_47_3
BAC009S0011w0090	1003_47_4
BAC009S0011w0091	1003_47_5
BAC009S0011w0092	1003_47_6
BAC009S0011w0093	1003_48_1
BAC009S0011w0094	1003_48_2
BAC009S0011w0095	1003_48_3
BAC009S0011w0096	1003_48_4
BAC009S0011w0097	1003_48_5
BAC009S0011w0098	1003_48_6
BAC009S0011w0099	1003_48_7
BAC009S0011w0100	1003_48_8
BAC009S0012w0001	1002_18_1
BAC009S0012w0002	1002_18_2
BAC009S0012w0003	1002_18_3
BAC009S0012w0004	1002_18_4
BAC009S0012w0005	1002_18_5
BAC009S0012w0006	1002_18_6
BAC009S0012w0007	1002_19_1
BAC009S0012w0008	1002_19_10
BAC009S0012w0009	1002_19_11
BAC009S0012w0010	1002_19_12
BAC009S0012w0011	1002_19_13
BAC009S0012w0012	1002_19_14
BAC009S0012w0013	1002_19_15
BAC009S0012w0014	1002_19_2
BAC009S0012w0015	1002_19_3
BAC009S0012w0016	1002_19_4
BAC009S0012w0017	1002_19_5
BAC009S0012w0018	1002_19_6
BAC009S0012w0019	1002_19_7
BAC009S0012w0020	1002_19_8
BAC009S0012w0021	1002_19_9
BAC009S0012w0022	1002_20_1
BAC009S0012w0023	1002_20_10
BAC009S0012w0024	1002_20_2
BAC009S0012w0025	1002_20_3
BAC009S0012w0026	1002_20_4
BAC009S0012w0027	1002_20_5
BAC009S0012w0028	1002_20_6
BAC009S0012w0029	1002_20_7
BAC009S0012w0030	1002_20_8
BAC009S0012w0031	1002_20_9
BAC009S0012w0032	1007_01_1
BAC009S0012w0033	1007_01_10
BAC009S0012w0034	1007_01_11
BAC009S0012w0035	1007_01_12
BAC009S0012w0036	1007_01_13
BAC009S0012w0037	1007_01_14
BAC009S0012w0038	1007_01_15
BAC009S0012w0039	1007_01_16
BAC009S0012w0040	1007_01_17
BAC009S0012w0041	1007_01_18
BAC009S0012w0042	1007_01_19
BAC009S0012w0043	1007_01_2
BAC009S0012w0044	1007_01_20
BAC009S0012w0045	1007_01_21
BAC009S0012w0046	1007_01_22
BAC009S0012w0047	1007_01_23
BAC009S0012w0048	1007_01_24
BAC009S0012w0049	1007_01_25
BAC009S0012w0050	1007_01_26
BAC009S0012w0051	1007_01_27
BAC009S0012w0052	1007_01_28
BAC009S0012w0053	1007_01_29
BAC009S0012w0054	1007_01_3
BAC009S0012w0055	1007_01_30
BAC009S0012w0056	1007_01_31
BAC009S0012w0057	1007_01_32
BAC009S0012w0058	1007_01_33
BAC009S0012w0059	1007_01_34
BAC009S0012w0060	1007_01_35
BAC009S0012w0061	1007_01_4
BAC009S0012w0062	1007_01_5
BAC009S0012w0063	1007_01_6
BAC009S0012w0064	1007_01_7
BAC009S0012w0065	1007_01_8
BAC009S0012w0066	1007_01_9
BAC009S0012w0067	1007_02_1
BAC009S0012w0068	1007_02_2
BAC009S0012w0069	1007_02_3
BAC009S0012w0070	1007_02_4
BAC009S0012w0071	1007_02_5
BAC009S0012w0072	1007_02_6
BAC009S0012w0073	1007_02_7
BAC009S0012w0074	1007_02_8
BAC009S0012w0075	1007_03_1
BAC009S0012w0076	1007_03_2
BAC009S0012w0077	1007_03_3
BAC009S0012w0078	1007_03_4
BAC009S0012w0079	1007_03_5
BAC009S0012w0080	1007_03_6
BAC009S0012w0081	1007_03_7
BAC009S0012w0082	1007_04_1
BAC009S0012w0083	1007_04_2
BAC009S0012w0084	1007_04_3
BAC009S0012w0085	1007_04_4
BAC009S0012w0086	1007_04_5
BAC009S0012w0087	1007_04_6
BAC009S0012w0088	1007_04_7
BAC009S0012w0089	1007_04_8
BAC009S0012w0090	1007_04_9
BAC009S0012w0091	1007_05_1
BAC009S0012w0092	1007_05_2
BAC009S0012w0093	1007_05_3
BAC009S0012w0094	1007_05_4
BAC009S0012w0095	1007_05_5
BAC009S0012w0096	1007_05_6
BAC009S0012w0097	1007_06_1
BAC009S0012w0098	1007_06_2
BAC009S0012w0099	1007_06_3
BAC009S0012w0100	1007_06_4
BAC009S0012w0101	1007_06_5
BAC009S0012w0102	1007_07_1
BAC009S0012w0103	1007_07_2
BAC009S0012w0104	1007_07_3
BAC009S0012w0105	1007_07_4
BAC009S0012w0106	1007_08_1
BAC009S0012w0107	1007_08_10
BAC009S0012w0108	1007_08_11
BAC009S0012w0109	1007_08_12
BAC009S0012w0110	1007_08_13
BAC009S0012w0111	1007_08_14
BAC009S0012w0112	1007_08_15
BAC009S0012w0113	1007_08_16
BAC009S0012w0114	1007_08_17
BAC009S0012w0115	1007_08_2
BAC009S0012w0116	1007_08_3
BAC009S0012w0117	1007_08_4
BAC009S0012w0118	1007_08_5
BAC009S0012w0119	1007_08_6
BAC009S0012w0120	1007_08_7
BAC009S0012w0121	1007_08_8
BAC009S0012w0122	1007_08_9
BAC009S0012w0123	1007_09_1
BAC009S0012w0124	1007_09_2
BAC009S0012w0125	1007_09_3
BAC009S0012w0126	1007_09_4
BAC009S0012w0127	1007_10_1
BAC009S0012w0128	1007_10_2
BAC009S0012w0129	1007_10_3
BAC009S0012w0130	1007_10_4
BAC009S0012w0131	1007_10_5
BAC009S0012w0132	1007_10_6
BAC009S0012w0133	1007_10_7
BAC009S0012w0134	1007_10_8
BAC009S0012w0135	1007_11_1
BAC009S0012w0136	1007_11_10
BAC009S0012w0137	1007_11_11
BAC009S0012w0138	1007_11_2
BAC009S0012w0139	1007_11_3
BAC009S0012w0140	1007_11_4
BAC009S0012w0141	1007_11_5
BAC009S0012w0142	1007_11_6
BAC009S0012w0143	1007_11_7
BAC009S0012w0144	1007_11_8
BAC009S0012w0145	1007_11_9
BAC009S0012w0146	1007_12_1
BAC009S0012w0147	1007_12_2
BAC009S0012w0148	1007_12_3
BAC009S0012w0149	1007_12_4
BAC009S0012w0150	1008_37_1
BAC009S0012w0151	1008_37_2
BAC009S0012w0152	1008_37_3
BAC009S0012w0153	1008_37_4
BAC009S0012w0154	1008_37_5
BAC009S0012w0155	1008_38_1
BAC009S0012w0156	1008_38_2
BAC009S0012w0157	1008_38_3
BAC009S0012w0158	1008_38_4
BAC009S0012w0159	1008_39_1
BAC009S0012w0160	1008_39_2
BAC009S0012w0161	1008_39_3
BAC009S0012w0162	1008_39_4
BAC009S0012w0163	1008_40_1
BAC009S0012w0164	1008_40_2
BAC009S0012w0165	1008_40_3
BAC009S0012w0166	1008_40_4
BAC009S0012w0167	1008_40_5
BAC009S0012w0168	1008_41_1
BAC009S0012w0169	1008_41_2
BAC009S0012w0170	1008_41_3
BAC009S0012w0171	1008_41_4
BAC009S0012w0172	1008_41_5
BAC009S0012w0173	1008_41_6
BAC009S0012w0174	1008_41_7
BAC009S0012w0175	1008_42_1
BAC009S0012w0176	1008_42_2
BAC009S0012w0177	1008_42_3
BAC009S0012w0178	1008_42_4
BAC009S0012w0179	1008_42_5
BAC009S0012w0180	1008_42_6
BAC009S0012w0181	1008_43_1
BAC009S0012w0182	1008_43_2
BAC009S0012w0183	1008_43_3
BAC009S0012w0184	1008_43_4
BAC009S0012w0185	1008_44_1
BAC009S0012w0186	1008_44_2
BAC009S0012w0187	1008_44_3
BAC009S0012w0188	1008_44_4
BAC009S0012w0189	1008_44_5
BAC009S0012w0190	1008_45_1
BAC009S0012w0191	1008_45_2
BAC009S0012w0192	1008_45_3
BAC009S0012w0193	1008_45_4
BAC009S0012w0194	1008_45_5
BAC009S0012w0195	1008_45_6
BAC009S0012w0196	1008_46_1
BAC009S0012w0197	1008_46_2
BAC009S0012w0198	1008_46_3
BAC009S0012w0199	1008_46_4
BAC009S0012w0200	1008_46_5
BAC009S0012w0201	1008_47_1
BAC009S0012w0202	1008_47_2
BAC009S0012w0203	1008_47_3
BAC009S0012w0204	1008_47_4
BAC009S0012w0205	1008_47_5
BAC009S0012w0206	1008_47_6
BAC009S0012w0207	1008_48_1
BAC009S0012w0208	1008_48_2
BAC009S0012w0209	1008_48_3
BAC009S0012w0210	1008_49_1
BAC009S0012w0211	1008_49_2
BAC009S0012w0212	1008_49_3
BAC009S0012w0213	1008_49_4
BAC009S0012w0214	1008_49_5
BAC009S0012w0215	1008_50_1
BAC009S0012w0216	1008_50_2
BAC009S0012w0217	1008_50_3
BAC009S0012w0218	1008_50_4
BAC009S0012w0219	1008_50_5
BAC009S0012w0220	1008_50_6
BAC009S0012w0221	1008_51_1
BAC009S0012w0222	1008_51_2
BAC009S0012w0223	1008_51_3
BAC009S0012w0224	1008_51_4
BAC009S0012w0225	1008_52_1
BAC009S0012w0226	1008_52_2
BAC009S0012w0227	1008_52_3
BAC009S0012w0228	1008_52_4
BAC009S0012w0229	1008_53_1
BAC009S0012w0230	1008_53_2
BAC009S0012w0231	1008_53_3
BAC009S0012w0232	1008_53_4
BAC009S0012w0233	1008_53_5
BAC009S0012w0234	1008_54_1
BAC009S0012w0235	1008_54_2
BAC009S0012w0236	1008_54_3
BAC009S0012w0237	1008_54_4
BAC009S0012w0238	1008_54_5
BAC009S0012w0239	1008_55_1
BAC009S0012w0240	1008_55_2
BAC009S0012w0241	1008_55_3
BAC009S0012w0242	1008_55_4
BAC009S0012w0243	1008_55_5
BAC009S0012w0244	1008_56_1
BAC009S0012w0245	1008_56_2
BAC009S0012w0246	1008_56_3
BAC009S0012w0247	1008_57_1
BAC009S0012w0248	1008_57_2
BAC009S0012w0249	1008_57_3
BAC009S0012w0250	1008_57_4
BAC009S0012w0251	1008_57_5
BAC009S0012w0252	1008_57_6
BAC009S0012w0253	1008_58_1
BAC009S0012w0254	1008_58_10
BAC009S0012w0255	1008_58_11
BAC009S0012w0256	1008_58_2
BAC009S0012w0257	1008_58_3
BAC009S0012w0258	1008_58_4
BAC009S0012w0259	1008_58_5
BAC009S0012w0260	1008_58_6
BAC009S0012w0261	1008_58_7
BAC009S0012w0262	1008_58_8
BAC009S0012w0263	1008_58_9
BAC009S0012w0264	1008_59_1
BAC009S0012w0265	1008_59_2
BAC009S0012w0266	1008_59_3
BAC009S0012w0267	1008_59_4
BAC009S0012w0268	1008_60_1
BAC009S0012w0269	1008_60_2
BAC009S0012w0270	1008_60_3
BAC009S0012w0271	1008_60_4
BAC009S0012w0272	1008_60_5
BAC009S0012w0273	1008_60_6
